datum,prvih_pet,zadnji_dve,zmagovalci,sodelujoči
02-10-2020,"15,19,34,39,49","2,7","987,106","24,600,992"
09-10-2020,"1,11,17,23,29","1,8","1,047,224","26,258,893"
16-10-2020,"5,11,35,44,50","4,10","995,348","29,378,019"
23-10-2020,"17,21,23,37,45","7,9","866,552","21,312,389"
30-10-2020,"11,19,24,33,39","1,4","888,279","22,848,077"
06-11-2020,"5,12,26,47,50","2,3","931,991","24,288,079"
13-11-2020,"5,17,21,37,38","1,4","1,045,822","28,369,377"
20-11-2020,"18,20,34,49,50","7,8","1,075,127","29,946,144"
27-11-2020,"1,2,22,25,30","5,10","737,183","21,016,333"
04-12-2020,"1,27,37,40,41","7,10","663,565","21,081,840"
11-12-2020,"4,13,15,41,49","1,9","761,560","22,309,514"
18-12-2020,"4,17,27,28,50","5,8","968,882","24,136,835"
25-12-2020,"7,10,19,26,42","1,9","951,835","24,968,742"
01-01-2021,"17,36,38,43,46","4,6","1,100,427","29,738,324"
08-01-2021,"8,22,25,38,50","8,9","1,295,746","34,985,317"
15-01-2021,"10,19,32,36,46","4,6","1,658,693","44,309,295"
22-01-2021,"38,40,41,46,48","2,6","733,794","23,257,192"
29-01-2021,"16,30,33,36,43","4,8","876,951","23,019,317"
05-02-2021,"2,3,16,33,46","2,10","795,415","22,757,316"
12-02-2021,"15,18,24,27,44","2,7","966,296","22,090,520"
19-02-2021,"27,35,36,38,41","5,7","935,704","24,380,978"
26-02-2021,"3,13,24,29,32","1,7","1,072,893","26,420,466"
05-03-2021,"9,23,34,40,42","1,4","1,009,995","28,976,320"
12-03-2021,"6,11,18,26,34","5,8","1,397,424","32,748,362"
19-03-2021,"3,11,19,34,37","8,9","917,601","22,707,310"
26-03-2021,"7,38,41,44,50","1,8","816,466","24,319,745"
02-04-2021,"1,3,4,36,43","2,3","967,431","25,501,713"
09-04-2021,"11,18,23,29,32","3,7","1,334,988","28,213,954"
16-04-2021,"12,19,20,28,31","6,9","888,721","22,150,972"
23-04-2021,"3,6,11,14,49","1,5","925,410","23,973,384"
30-04-2021,"23,27,34,40,43","5,7","1,043,298","25,974,680"
07-05-2021,"3,7,19,27,29","7,10","1,245,382","28,472,100"
14-05-2021,"1,15,29,42,50","3,6","1,135,100","31,935,758"
21-05-2021,"2,12,15,33,39","4,9","1,453,274","36,052,283"
28-05-2021,"15,26,35,37,43","3,8","1,712,915","42,396,972"
04-06-2021,"13,17,26,49,50","1,7","837,031","21,995,292"
11-06-2021,"8,20,23,48,50","8,9","812,463","23,204,118"
18-06-2021,"11,14,44,46,49","7,10","827,606","24,492,932"
25-06-2021,"4,17,22,30,47","1,8","960,209","26,260,599"
02-07-2021,"4,5,10,25,31","4,6","868,514","21,047,554"
09-07-2021,"8,14,15,20,31","8,9","814,434","22,365,282"
16-07-2021,"9,14,24,37,39","4,9","944,996","23,829,720"
23-07-2021,"13,33,42,48,50","3,9","973,565","25,474,993"
30-07-2021,"5,14,39,43,44","1,6","961,012","28,823,698"
06-08-2021,"16,19,21,29,36","1,7","1,293,510","33,313,095"
13-08-2021,"4,31,39,43,46","1,4","1,404,297","42,411,846"
20-08-2021,"8,31,34,36,45","8,10","713,270","22,041,131"
27-08-2021,"19,20,22,25,42","4,6","899,531","23,511,506"
03-09-2021,"5,9,20,44,48","4,10","856,973","25,476,368"
10-09-2021,"2,14,18,23,42","5,10","984,430","27,543,877"
